sandwichlg,Sandwich  hinged container (large) ,1000ctn,,,,
,CHICKEN ROASTER,,,,,
roasterc,Chicken  roaster combo ,      200ctn,,,,
,PRINTED DELI CONTAINERS,,,,,
pineapple,Pineapple container (Printed),     500ctn,,,,
,PAPER SOUP BOWLS,,,,,
soup12,Paper Soup cup combo  (12 OZ) ,    250ctn,,,,
,TAKE OUT PLASTIC CLEAR TOPS,,,,,
7round,7? Round  black containers  (R23) ,150ctn,,,,
9round,9? Round black  containers  (48oz),150ctn,,,,
rec28b,Rectangular black container  28oz  (k68)  ,150ctn,,,,
rec38black,Rectangular black container  (38z)  (k88),150ctn,,,,
,CLAMSHELLS SALAD CONTAINERS.,,,,,
clam5,5? Clamshell clear,500ctn,,,,
clam6,6? Clamshell clear,500ctn,,,,
clam8,8? Clamshell clear,250ctn,,,,
clam9,9? Clamshell clear  ,250ctn,,,,
clam93,9?Clamshell clear 3 Compartment,200ctn,,,,
,TAKE OUT PAPER BOXES AND TRAYS,,,,,
save200,Save-a day food tray  #200,500ctn,,,,
save300,Save-a- day food tray  #300,500ctn,,,,
dinnerbox,Dinner box plain (9x4x31/4x21/2),250ctn,,,,
snackbox,Snack box plain (61/2x41/2x21/4)  ,400ctn,,,,
tray4,4 cup Paprus tray ,360ctn,,,,
carry,Carry out tray ,350ctn,,,,
,,,,,,
,PIZZA BOXES AND TRAYS,,,,,
pizza9,9? Pizza boxes   9x9x2,,,,50ctn,
pizza12,12? Pizza boxes ,,,,50ctn,
pizza14,14? Pizza boxes,,,,50ctn,
pizza16,16? Pizza boxes,,,,50ctn,
pizza s,9? Plain Pizza slice box  (clamshell) ,,,,200ctn,
pizza t,Pizza slice tray (card lock style) ,,,,500ctn,
,Cake TRAYS,,,,,
Cake8,8? dome cake base  (2-3layers) combo ,,,,100ctn,
,TAKE OUT PAPER BOXES AND TRAYS,,,,,
kraftb1,Kraft bio pack #1,,,,450ctn,
kraftb2,Kraft bio pack #2 ,,,,200ctn,
kraftb4,Kraft bio pack #4,,,,160ctn,
,FOIL AND PIE PAN,,,,,
214foil,2 ¬  oblong foil,,,,500ctn,
pans1,Foil pan   (1 lb),,,,1000ctn,
steamf,Full steam table,,,,50ctn,
steam12,Half steam table,,,,100ctn,
foil9,Foil container 9? round ,,,,500ctn,
pie5,Pie pan Deep 5? (Tart),,,,1000ctn ,
pie9,Pie pan Deep 9?,,,,500ctn,
Pie10,Pie pan Deep 10?,,,,500ctn,
,PORTION CUPS,,,,,
cups1,1oz         Portion   (Translucent) ,,,,5000ctn,
cups1e,1 oz        Portion   (Translucent) Sleeves,,,,,
cups1.5,1.5 oz     Portion   (Translucent),,,,5000ctn,
cups2.5,2.5 oz     Portion   (Translucent),,,,2500ctn,
cups,2  oz       Portion   (Translucent),,,,2500ctn,
cups2b,2 oz        Portion   (Black),,,,2500ctn,
cups314c,3 1/4 oz  Portion   (Translucent),,,,3300ctn,
cups314b,3 1/4 oz  Portion   (Black),,,,2500ctn,
cups4,4  oz       Portion   (Translucent),,,,2500ctn,
cups4b,4  oz       Portion   (Black),,,,2500ctn,
cups4be,4  oz       Portion   (Black)   Sleeves         ,,,,,
,PORTION CUPS PAPER:,,,,,
cups4p,4 oz   Paper  Souflfle  portion,,,,5000ctn,
,KIDS CUPS,,,,,
